time,open,high,low,close,volume
2026-04-07 15:19:00,4646.79696,4647.6813,4646.79696,4647.48669,379.08706862765086
2026-04-07 15:20:00,4647.64514,4651.1456,4647.48803,4650.38424,1567.8782929635568
2026-04-07 15:21:00,4650.33798,4650.57687,4650.29762,4650.57687,250.0
2026-04-07 15:22:00,4650.60525,4650.62458,4649.05681,4649.39222,709.7787727807373
2026-04-07 15:23:00,4649.28978,4649.40917,4648.97251,4648.97251,250.0
2026-04-07 15:24:00,4649.29684,4649.29684,4644.86531,4646.92835,2099.2015840421736
2026-04-07 15:25:00,4646.69561,4649.18405,4646.69561,4649.18405,1178.7660672034872
2026-04-07 15:26:00,4649.27607,4651.12276,4649.00046,4650.14007,1011.2330105183702
2026-04-07 15:27:00,4650.05022,4650.94178,4650.05022,4650.94178,424.8103014926198
2026-04-07 15:28:00,4650.96092,4650.96406,4650.6388,4650.6388,250.0
2026-04-07 15:29:00,4650.59702,4650.66267,4650.59702,4650.64863,250.0
2026-04-07 15:30:00,4651.25057,4657.74361,4650.62441,4654.33429,3392.1547606287936
2026-04-07 15:31:00,4654.31416,4654.43649,4654.19343,4654.26667,250.0
2026-04-07 15:32:00,4654.37568,4654.37568,4651.98194,4652.55032,1089.8048472903304
2026-04-07 15:33:00,4652.61364,4652.61364,4648.07738,4649.0384,2065.2360475942164
2026-04-07 15:34:00,4648.9706,4649.05533,4648.71054,4648.71054,250.0
2026-04-07 15:35:00,4649.01398,4649.01398,4644.90071,4646.87002,1872.6601820635897
2026-04-07 15:36:00,4646.61552,4649.01742,4646.61552,4649.01742,1029.8837366353637
2026-04-07 15:37:00,4648.88786,4649.00592,4648.78434,4648.79241,250.0
2026-04-07 15:38:00,4648.71601,4648.82683,4647.6623,4647.6623,554.8749836210591
2026-04-07 15:39:00,4648.00459,4648.00459,4644.17014,4646.02393,1827.0378444053829
2026-04-07 15:40:00,4645.82782,4646.02126,4644.59094,4644.59094,785.260175903209
2026-04-07 15:41:00,4644.44375,4644.61164,4643.40239,4643.40239,776.1553273429026
2026-04-07 15:42:00,4643.58812,4643.58812,4641.3032,4642.3307,1466.5725288836547
2026-04-07 15:43:00,4641.95374,4645.64232,4641.95374,4645.64232,2025.0678027520169
2026-04-07 15:44:00,4645.15424,4647.62171,4645.15424,4647.62171,1175.6995318589627
2026-04-07 15:45:00,4647.37453,4647.61029,4646.34147,4646.34147,687.6942713820839
2026-04-07 15:46:00,4646.18418,4648.19598,4646.18418,4648.19598,1124.0456255920633
2026-04-07 15:47:00,4647.87469,4650.17548,4647.87469,4650.17548,1285.511946965872
2026-04-07 15:48:00,4650.13787,4650.91189,4650.08138,4650.91189,464.02780222245394
2026-04-07 15:49:00,4650.83275,4651.09106,4650.73016,4651.03415,250.0
2026-04-07 15:50:00,4650.81636,4651.94648,4650.81636,4651.94648,753.8933120752133
2026-04-07 15:51:00,4651.92404,4651.97822,4650.07915,4650.086,1095.562529566041
2026-04-07 15:52:00,4649.98747,4650.13718,4649.83241,4649.89472,250.0
2026-04-07 15:53:00,4649.81655,4652.59678,4649.81655,4652.59678,1421.7961732299284
2026-04-07 15:54:00,4652.64122,4653.64967,4652.46115,4653.16454,713.9566106700737
2026-04-07 15:55:00,4653.28547,4656.24289,4653.1106,4655.32975,1881.5999327202449
2026-04-07 15:56:00,4655.07274,4655.30624,4653.68966,4653.68966,1061.130985591741
2026-04-07 15:57:00,4653.92177,4653.92177,4651.00433,4652.30995,1659.68739777847
2026-04-07 15:58:00,4652.45424,4654.17989,4652.30919,4653.61305,992.4743419359828
2026-04-07 15:59:00,4653.83288,4656.87486,4653.38393,4655.12863,1785.2447153699238
2026-04-07 16:00:00,4655.09358,4656.40272,4655.06005,4656.40272,712.3352353059826
2026-04-07 16:01:00,4656.2991,4656.38792,4655.51629,4655.51629,462.43139501898935
2026-04-07 16:02:00,4655.91227,4660.13647,4655.29137,4657.69911,2570.501648641398
2026-04-07 16:03:00,4657.85902,4665.96505,4657.66185,4665.13322,4000.0
2026-04-07 16:04:00,4665.12891,4665.14885,4664.50751,4664.50751,340.2541799627476
2026-04-07 16:05:00,4664.61062,4664.61062,4660.81103,4661.54869,2015.820593829193
2026-04-07 16:06:00,4661.52882,4661.58062,4661.06545,4661.09257,295.45663095571854
2026-04-07 16:07:00,4660.81637,4661.13545,4659.72737,4659.72737,807.5520176183389
2026-04-07 16:08:00,4658.86707,4659.83225,4655.36802,4655.36802,2368.4362706475795
2026-04-07 16:09:00,4655.49537,4655.49537,4654.19691,4654.73525,744.6835355921361
2026-04-07 16:10:00,4654.79762,4655.08468,4654.70091,4655.01215,250.0
2026-04-07 16:11:00,4655.18378,4658.45331,4654.84336,4656.96376,1915.2096812268492
2026-04-07 16:12:00,4657.11047,4659.9964,4656.9822,4659.36894,1599.1426532647813
2026-04-07 16:13:00,4659.39205,4659.41722,4658.94774,4659.0409,269.2528274188594
2026-04-07 16:14:00,4659.25359,4659.25359,4656.31469,4657.63419,1685.4970062626833
2026-04-07 16:15:00,4657.53385,4657.66185,4657.35602,4657.35602,250.0
2026-04-07 16:16:00,4657.3877,4659.12274,4657.35467,4658.42556,1044.757951339192
2026-04-07 16:17:00,4658.46458,4658.50687,4658.22206,4658.31575,250.0
2026-04-07 16:18:00,4658.26828,4658.32448,4657.74749,4657.74749,381.5238737580228
2026-04-07 16:19:00,4657.68962,4657.80774,4657.2141,4657.35171,392.53337565216754
2026-04-07 16:20:00,4657.4893,4657.4893,4655.25227,4656.1173,1321.8678445335588
2026-04-07 16:21:00,4655.9565,4657.02508,4655.9565,4657.02508,706.5785906515753
2026-04-07 16:22:00,4656.45365,4660.1693,4656.45365,4660.1693,2195.5889087493388
2026-04-07 16:23:00,4660.09994,4660.21122,4660.0494,4660.21122,250.0
2026-04-07 16:24:00,4660.22581,4660.2997,4658.86098,4659.40578,941.7864039535413
2026-04-07 16:25:00,4659.40171,4659.42843,4658.52055,4658.52055,637.8249262329338
2026-04-07 16:26:00,4658.32545,4658.52977,4657.42418,4657.42418,803.8462237571998
2026-04-07 16:27:00,4657.69851,4661.85647,4657.42234,4660.22191,3223.942561119254
2026-04-07 16:28:00,4660.58106,4663.98199,4660.04473,4662.01152,2862.681086976561
2026-04-07 16:29:00,4661.96021,4662.30227,4661.78733,4662.30227,389.9391548314766
2026-04-07 16:30:00,4662.35065,4662.95351,4662.22202,4662.95351,608.5480751233061
2026-04-07 16:31:00,4663.15265,4663.15265,4658.48957,4660.11882,3445.786871799446
2026-04-07 16:32:00,4660.12011,4660.26657,4658.94188,4659.16365,1009.99942816823
2026-04-07 16:33:00,4659.05347,4659.50761,4659.05347,4659.50761,377.8124415047993
2026-04-07 16:34:00,4659.6559,4661.52877,4659.39801,4660.5397,1624.5811333705378
2026-04-07 16:35:00,4660.6167,4660.64377,4658.90456,4659.68728,1326.046928311458
2026-04-07 16:36:00,4659.80413,4660.7525,4659.66994,4660.39018,825.3893219984072
2026-04-07 16:37:00,4660.38675,4660.48743,4659.16801,4659.70417,1008.006478524544
2026-04-07 16:38:00,4659.75191,4660.27957,4659.71194,4660.20962,472.2281150554527
2026-04-07 16:39:00,4660.45144,4660.45144,4656.48045,4658.35307,3275.029793691504
2026-04-07 16:40:00,4658.2325,4658.33641,4657.68355,4657.68355,538.4390167464588
2026-04-07 16:41:00,4657.46743,4659.212,4657.46743,4659.212,1438.8146853009266
2026-04-07 16:42:00,4659.22799,4659.3725,4659.18092,4659.3725,250.0
2026-04-07 16:43:00,4659.33285,4659.42022,4658.67205,4658.81713,683.8379452961291
2026-04-07 16:44:00,4658.73668,4659.24165,4658.73668,4659.24165,469.49059568412224
2026-04-07 16:45:00,4659.26128,4661.69702,4659.18092,4661.3976,2299.7509311517774
2026-04-07 16:46:00,4661.36447,4661.9106,4661.13545,4661.7265,720.6876353937128
2026-04-07 16:47:00,4661.72862,4661.77596,4660.93136,4661.07441,785.258049220765
2026-04-07 16:48:00,4661.26685,4663.09669,4660.98218,4662.08891,1932.692000091753
2026-04-07 16:49:00,4662.05711,4662.12742,4660.19975,4660.26229,1589.824371858335
2026-04-07 16:50:00,4660.60529,4660.60529,4656.98158,4658.71583,2988.6144799409994
2026-04-07 16:51:00,4658.41436,4660.55919,4658.41436,4660.55919,1622.3455151266578
2026-04-07 16:52:00,4660.49395,4660.84392,4660.26657,4660.73108,476.1629848953164
2026-04-07 16:53:00,4660.55529,4661.68923,4660.55529,4661.68923,924.3975608960226
2026-04-07 16:54:00,4661.72173,4661.77083,4661.70913,4661.77083,250.0
2026-04-07 16:55:00,4662.0929,4662.0929,4657.59864,4659.74724,3663.75908957541
2026-04-07 16:56:00,4659.66051,4659.83225,4658.39609,4658.39609,1086.3088146866771
2026-04-07 16:57:00,4658.17676,4658.39366,4657.22417,4657.22417,939.7607788146024
2026-04-07 16:58:00,4657.21408,4657.64265,4657.21408,4657.58567,372.1146290533834
2026-04-07 16:59:00,4657.5606,4657.83746,4657.5606,4657.83746,250.0
2026-04-08 13:00:00,4800.35756,4804.86162,4799.8464,4802.39083,2877.134809222367
2026-04-08 13:01:00,4802.45011,4803.67481,4802.38198,4803.39847,829.7930379362618
2026-04-08 13:02:00,4803.20341,4804.56871,4803.20341,4804.56871,987.7552496874192
2026-04-08 13:03:00,4804.48203,4806.0719,4804.45854,4806.0719,1167.2195192533388
2026-04-08 13:04:00,4806.40512,4806.40512,4801.32157,4803.80066,3391.3507563493963
2026-04-08 13:05:00,4803.80394,4803.84719,4801.50994,4801.927,1559.2321419635605
2026-04-08 13:06:00,4801.62872,4801.92077,4800.72014,4800.72014,800.9673276732578
2026-04-08 13:07:00,4800.64203,4800.76812,4798.11828,4798.11828,1584.4534800287963
2026-04-08 13:08:00,4798.22808,4798.23425,4796.86164,4797.36571,915.6990610250058
